2.      Creating RBMs
3.      2,1
4.      2,2
5.      2,2
6.      1,2
------------------------------------------------
Info     Mon_Jun__4_15-55-25_2018 

1.-v    Pretrain Session
2.--v   	Pretraining  1. RBM
3.---v  		Epoch: 1 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.1503 
3.---^  		Epoch: 1 / 50 (took 2.777 sek)
4.---v  		Epoch: 2 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.1313 
4.---^  		Epoch: 2 / 50 (took 2.76 sek)
5.---v  		Epoch: 3 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.1132 
5.---^  		Epoch: 3 / 50 (took 2.762 sek)
6.---v  		Epoch: 4 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.1001 
6.---^  		Epoch: 4 / 50 (took 2.759 sek)
7.---v  		Epoch: 5 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0915 
7.---^  		Epoch: 5 / 50 (took 2.763 sek)
8.---v  		Epoch: 6 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0846 
8.---^  		Epoch: 6 / 50 (took 2.768 sek)
9.---v  		Epoch: 7 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0812 
9.---^  		Epoch: 7 / 50 (took 2.763 sek)
10.---v  		Epoch: 8 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0762 
10.---^  		Epoch: 8 / 50 (took 2.758 sek)
11.---v  		Epoch: 9 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0732 
11.---^  		Epoch: 9 / 50 (took 2.767 sek)
12.---v  		Epoch: 10 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0716 
12.---^  		Epoch: 10 / 50 (took 2.759 sek)
13.---v  		Epoch: 11 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0692 
13.---^  		Epoch: 11 / 50 (took 2.763 sek)
14.---v  		Epoch: 12 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0671 
14.---^  		Epoch: 12 / 50 (took 2.763 sek)
15.---v  		Epoch: 13 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.065 
15.---^  		Epoch: 13 / 50 (took 2.894 sek)
16.---v  		Epoch: 14 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0637 
16.---^  		Epoch: 14 / 50 (took 2.761 sek)
17.---v  		Epoch: 15 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0623 
17.---^  		Epoch: 15 / 50 (took 2.761 sek)
18.---v  		Epoch: 16 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0601 
18.---^  		Epoch: 16 / 50 (took 2.763 sek)
19.---v  		Epoch: 17 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0599 
19.---^  		Epoch: 17 / 50 (took 2.759 sek)
20.---v  		Epoch: 18 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0591 
20.---^  		Epoch: 18 / 50 (took 2.762 sek)
21.---v  		Epoch: 19 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0584 
21.---^  		Epoch: 19 / 50 (took 2.767 sek)
22.---v  		Epoch: 20 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0572 
22.---^  		Epoch: 20 / 50 (took 2.758 sek)
23.---v  		Epoch: 21 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0563 
23.---^  		Epoch: 21 / 50 (took 2.758 sek)
24.---v  		Epoch: 22 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0549 
24.---^  		Epoch: 22 / 50 (took 2.765 sek)
25.---v  		Epoch: 23 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0545 
25.---^  		Epoch: 23 / 50 (took 2.767 sek)
26.---v  		Epoch: 24 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0546 
26.---^  		Epoch: 24 / 50 (took 2.762 sek)
27.---v  		Epoch: 25 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0524 
27.---^  		Epoch: 25 / 50 (took 2.76 sek)
28.---v  		Epoch: 26 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0534 
28.---^  		Epoch: 26 / 50 (took 2.76 sek)
29.---v  		Epoch: 27 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0514 
29.---^  		Epoch: 27 / 50 (took 2.759 sek)
30.---v  		Epoch: 28 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0521 
30.---^  		Epoch: 28 / 50 (took 2.764 sek)
31.---v  		Epoch: 29 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0512 
31.---^  		Epoch: 29 / 50 (took 2.761 sek)
32.---v  		Epoch: 30 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0504 
32.---^  		Epoch: 30 / 50 (took 2.767 sek)
33.---v  		Epoch: 31 / 50
Info     			Learnrate: 0.0001 
Info     			error 0.0511 
