,Class_Error,Freerun_Steps,Layer_Activity_0,Layer_Activity_1,Layer_Activity_2,Layer_Activity_3,Layer_Activity_4,Layer_Diversity_0,Layer_Diversity_1,Layer_Diversity_2,Layer_Diversity_3,Layer_Diversity_4,Learnrate,Recon_Error,Temperature,Test_Epoch,Train_Epoch,W_mean_0,W_mean_1,W_mean_2,W_mean_3
0,0.4047,4,6907.098785400391,24534.282846450806,15580.444467544556,25793.107067108154,5824.602155685425,0.16115312278270721,0.41400498151779175,0.177010640501976,0.3875848054885864,0.02410263568162918,"[0.0001, 0.0001, 0.0001, 0.0001]",0.042734693735837936,0.01,1.0,0,0.8627556562423706,0.5237407088279724,0.40698206424713135,0.023760298267006874
1,0.1954,4,6571.842547416687,24891.50704574585,17735.232358932495,25868.432327270508,5018.048472881317,0.1591767519712448,0.3899231255054474,0.19789360463619232,0.32195478677749634,0.02625655010342598,[9.99e-05 9.99e-05 9.99e-05 9.99e-05],0.039682306349277496,0.0099999999,11.0,1,0.9707263112068176,0.5451611280441284,0.41119539737701416,0.034697577357292175
2,0.2048,4,6547.153300285339,24354.735301971436,19563.228282928467,26293.890911102295,5038.668798923492,0.15209990739822388,0.4065917730331421,0.1834334135055542,0.27944695949554443,0.04218987748026848,[9.98e-05 9.98e-05 9.98e-05 9.98e-05],0.04046257212758064,0.009999999800000004,21.0,2,1.000000238418579,0.565117597579956,0.4163442850112915,0.04657059907913208
3,0.1572,4,6551.630331993103,24467.301025390625,20087.850513458252,25876.395992279053,5058.869799613953,0.15534444153308868,0.4146123230457306,0.1929735392332077,0.28678587079048157,0.05543963983654976,[9.97e-05 9.97e-05 9.97e-05 9.97e-05],0.041127920150756836,0.009999999700000008,31.0,3,1.0,0.585091233253479,0.41979917883872986,0.05869161710143089
4,0.1636,4,6577.723810195923,24804.2868309021,20866.25859451294,25102.67475128174,5061.561993122101,0.15553666651248932,0.39301514625549316,0.2081194967031479,0.2767072916030884,0.051578015089035034,[9.96e-05 9.96e-05 9.96e-05 9.96e-05],0.041160378605127335,0.009999999600000016,41.0,4,1.0000001192092896,0.6048552393913269,0.4246724247932434,0.07081513106822968
5,0.1496,4,6585.342083930969,24732.602054595947,21320.210090637207,23959.656623840332,5073.781348705292,0.15490365028381348,0.398849755525589,0.22970150411128998,0.27410733699798584,0.06859851628541946,[9.95e-05 9.95e-05 9.95e-05 9.95e-05],0.041393958032131195,0.009999999500000025,51.0,5,1.0000004768371582,0.6246778964996338,0.42957231402397156,0.08287361264228821
6,0.1386,4,6593.352252960205,24848.723217010498,21652.54949951172,23505.353519439697,5087.767595291138,0.15515676140785217,0.3907564580440521,0.22394084930419922,0.26192304491996765,0.09537144005298615,[9.94e-05 9.94e-05 9.94e-05 9.94e-05],0.04120897129178047,0.009999999400000036,61.0,6,1.000000238418579,0.6447535753250122,0.43511709570884705,0.09458352625370026
7,0.1493,4,6606.340461730957,24700.173835754395,22023.0505027771,22966.97368621826,5072.424981594086,0.15717385709285736,0.4046642482280731,0.22962594032287598,0.2573487162590027,0.07732807844877243,[9.93e-05 9.93e-05 9.93e-05 9.93e-05],0.041655439883470535,0.00999999930000005,71.0,7,1.0,0.663757860660553,0.43949103355407715,0.10597743093967438
8,0.1418,4,6596.4853801727295,24930.484886169434,22412.092922210693,21331.91917037964,5135.944151878357,0.1561795026063919,0.40828314423561096,0.24266134202480316,0.27722489833831787,0.12652945518493652,[9.921e-05 9.921e-05 9.921e-05 9.921e-05],0.041474808007478714,0.009999999200000064,81.0,8,0.9999996423721313,0.6834695339202881,0.4437567889690399,0.11704675108194351
9,0.1305,4,6595.702670097351,24805.337394714355,22095.04647064209,20958.917194366455,5127.328079223633,0.16002124547958374,0.40412116050720215,0.2447131872177124,0.27850213646888733,0.1196298748254776,[9.911e-05 9.911e-05 9.911e-05 9.911e-05],0.04154094308614731,0.009999999100000082,91.0,9,0.9999999403953552,0.7030259966850281,0.44811999797821045,0.12740279734134674
10,0.1366,4,6603.991192817688,24911.947387695312,21736.35958480835,20652.747455596924,5090.124512672424,0.15543954074382782,0.40302103757858276,0.23814226686954498,0.2633137106895447,0.11606058478355408,[9.901e-05 9.901e-05 9.901e-05 9.901e-05],0.04158632084727287,0.0099999990000001,100.0,10,1.0,0.7210726737976074,0.45337173342704773,0.1371743083000183
11,,4,6617.602046966553,24816.181785583496,21994.189868927002,20464.153522491455,5068.6864104270935,0.16003628075122833,0.40128567814826965,0.23992569744586945,0.26719650626182556,0.09689795970916748,[9.891e-05 9.891e-05 9.891e-05 9.891e-05],,0.00999999890000012,,11,1.0000001192092896,0.7382174134254456,0.45862820744514465,0.14719735085964203
12,,4,6571.625687599182,25048.618213653564,21736.153518676758,21300.03232192993,5023.427255630493,0.15062615275382996,0.4047715365886688,0.2122899889945984,0.27175965905189514,0.12830597162246704,[9.881e-05 9.881e-05 9.881e-05 9.881e-05],,0.009999998800000144,,12,1.0000003576278687,0.7560368776321411,0.4632147550582886,0.15703918039798737
13,,4,6595.362923622131,24976.77173614502,21636.088897705078,21606.468704223633,5072.41317653656,0.1555584967136383,0.3943997919559479,0.22561821341514587,0.2742488384246826,0.1326705366373062,[9.872e-05 9.872e-05 9.872e-05 9.872e-05],,0.009999998700000168,,13,0.9999998807907104,0.773686408996582,0.4685218632221222,0.16700181365013123
14,,4,6621.679048538208,24772.577751159668,21709.802032470703,21996.323280334473,5077.630913257599,0.16028724610805511,0.4002164304256439,0.23504553735256195,0.2530752122402191,0.11668515205383301,[9.862e-05 9.862e-05 9.862e-05 9.862e-05],,0.009999998600000197,,14,1.0,0.790399968624115,0.4736863076686859,0.1765299290418625
15,,4,6613.570261001587,24754.452518463135,21468.040382385254,22138.210132598877,5070.4533858299255,0.15504275262355804,0.3935931622982025,0.22415268421173096,0.27101489901542664,0.12274947762489319,[9.852e-05 9.852e-05 9.852e-05 9.852e-05],,0.009999998500000225,,15,0.9999998807907104,0.8078977465629578,0.47845029830932617,0.1857813000679016
16,,4,6590.8395166397095,24746.32325744629,21426.47265625,22352.698974609375,5049.788248538971,0.15960387885570526,0.40487468242645264,0.23514620959758759,0.2537306547164917,0.1557929813861847,[9.843e-05 9.843e-05 9.843e-05 9.843e-05],,0.009999998400000256,,16,0.9999999403953552,0.8254105448722839,0.48379382491111755,0.19513708353042603
17,,4,6592.675108909607,24912.400005340576,21664.11713027954,22346.601989746094,5072.386185646057,0.15760548412799835,0.3925553858280182,0.20900702476501465,0.24842597544193268,0.10715897381305695,[9.833e-05 9.833e-05 9.833e-05 9.833e-05],,0.00999999830000029,,17,0.9999999403953552,0.8420314192771912,0.48889869451522827,0.20428410172462463
18,,4,6592.331835746765,24810.37574005127,22070.242443084717,21993.228286743164,5083.979674816132,0.15779614448547363,0.39981207251548767,0.23496490716934204,0.2440757304430008,0.14229445159435272,[9.823e-05 9.823e-05 9.823e-05 9.823e-05],,0.009999998200000325,,18,1.0000001192092896,0.8592185378074646,0.4928017258644104,0.21326957643032074
