,Bias_diff_0,Bias_diff_1,Bias_diff_2,Bias_diff_3,Bias_diff_4,Bias_diff_5,CD_abs_mean_0,CD_abs_mean_1,CD_abs_mean_2,CD_abs_mean_3,CD_abs_mean_4,Class_Error,Class_Error_Train_Data,Context_Error,Freerun_Steps,Layer_Activity_0,Layer_Activity_1,Layer_Activity_2,Layer_Activity_3,Layer_Activity_4,Layer_Activity_5,Layer_Diversity_0,Layer_Diversity_1,Layer_Diversity_2,Layer_Diversity_3,Layer_Diversity_4,Layer_Diversity_5,Learnrate,Recon_Error,Temperature,Test_Epoch,Train_Epoch,W_diff_0,W_diff_1,W_diff_2,W_diff_3,W_diff_4,W_mean_0,W_mean_1,W_mean_2,W_mean_3,W_mean_4
0,0.0003011083754245192,0.00037435744889080524,4.62026109744329e-05,2.8291915441513993e-05,0.0007215666119009256,2.7336622224538587e-05,3.03289794921875,5.54254674911499,5.846080780029297,2.6632237434387207,5.495001316070557,0.4733,,0.4999350291356444,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.05346931517124176,0.01,1.0,0,7.54455104470253e-05,0.00011432466271799058,2.2175283447722904e-05,0.0003069272788707167,0.00036098045529797673,0.6478077173233032,0.4195474684238434,0.3425087630748749,0.01547210942953825,0.001946436008438468
1,9.082499309442937e-05,0.00022231250477489084,3.931354149244726e-05,3.0882471037330106e-05,0.00012317117943894118,2.7053814847022295e-05,3.2603061199188232,6.853494644165039,6.191096782684326,2.0958590507507324,5.4962592124938965,0.2518,,0.48865223763138055,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.047298796474933624,0.01,11.0,1,4.5902739657321945e-05,7.902490324340761e-05,2.4322111130459234e-05,6.061947351554409e-05,0.0002494406944606453,0.6663976311683655,0.4272347092628479,0.3446689248085022,0.018422408029437065,0.00291047221980989
2,3.0260654966696166e-05,7.242528954520822e-05,3.491834650048986e-05,2.7290743673802353e-05,5.820244041387923e-05,2.374850919295568e-05,3.3535828590393066,6.925709247589111,6.309943199157715,2.1016807556152344,5.487306118011475,0.2143,,0.4412420216426253,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.000998003992015968,0.04445900768041611,0.01,21.0,2,3.163458313792944e-05,3.9545699110021815e-05,2.1305546397343278e-05,4.399401950649917e-05,0.000249264674494043,0.6824097037315369,0.4329518675804138,0.34636300802230835,0.02017216384410858,0.0038983512204140425
3,2.4173194105969742e-05,4.8226698709186167e-05,2.8670430765487254e-05,2.5411256501683965e-05,4.415704097482376e-05,2.1528572688112035e-05,3.161297082901001,6.997275352478027,6.439062118530273,1.9137916564941406,5.4901885986328125,0.1986,,0.39297616360113025,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0009970089730807576,0.04241262748837471,0.01,31.0,3,2.7681020583258942e-05,3.1006988137960434e-05,1.878059447335545e-05,4.26232218160294e-05,0.00024892977671697736,0.6973110437393188,0.4380994439125061,0.3481631875038147,0.02180340886116028,0.004928553476929665
4,2.1467079932335764e-05,4.02942969230935e-05,2.9829045161022805e-05,2.4763015971984714e-05,3.4318021789658815e-05,1.3995057088322937e-05,2.9141733646392822,6.800418376922607,6.571389675140381,1.9549776315689087,5.461194038391113,0.1923,,0.34585497045479713,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00099601593625498,0.04192338138818741,0.01,41.0,4,2.545086681493558e-05,2.877835140679963e-05,1.809164859878365e-05,4.190704567008652e-05,0.0002484216820448637,0.7113476395606995,0.44298139214515686,0.34986212849617004,0.023360835388302803,0.005979747045785189
5,1.9788449208135717e-05,4.0236522181658074e-05,2.3996974050533026e-05,2.315275378350634e-05,3.223844032618217e-05,1.2042521120747551e-05,3.1474554538726807,6.887184143066406,6.6174235343933105,1.9621325731277466,5.4657697677612305,0.183,,0.3107428215444088,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.04170526936650276,0.01,50.0,5,2.3821381546440534e-05,2.708144711505156e-05,1.6151916497619823e-05,4.200090188533068e-05,0.00024783198023214936,0.7247212529182434,0.44771382212638855,0.3515712320804596,0.025015903636813164,0.007046976592391729
6,1.9082264770986512e-05,3.432981975493021e-05,2.57327137660468e-05,2.396803756710142e-05,2.723705256357789e-05,1.4760975318495184e-05,3.195612907409668,7.368967056274414,6.5155205726623535,2.0978119373321533,5.408647537231445,,,,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0009940357852882703,,0.01,,6,2.266532465000637e-05,2.5750172426342033e-05,1.6460826373076998e-05,4.1796094592427835e-05,0.00024697722983546555,0.7376080751419067,0.4522431492805481,0.35325631499290466,0.026717964559793472,0.00811881572008133
7,1.8304275727132335e-05,2.9523584089474753e-05,2.21646623685956e-05,2.4076172849163413e-05,2.6919053198071197e-05,6.392961950041354e-06,2.790830612182617,6.683233737945557,6.377562999725342,1.7928122282028198,5.40945291519165,,,,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0009930486593843098,,0.01,,7,2.2044641809770837e-05,2.3998178221518174e-05,1.5902025552350096e-05,4.1696559492265806e-05,0.0002458686358295381,0.750216543674469,0.4566364586353302,0.35493704676628113,0.028528762981295586,0.009194114245474339
8,1.6765714462962933e-05,3.0640123441116884e-05,2.1228936020634137e-05,2.367743945796974e-05,2.3775961381033994e-05,7.688460755161941e-06,2.875328540802002,6.758362293243408,6.769330024719238,1.8588513135910034,5.378066062927246,,,,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.000992063492063492,,0.01,,8,2.1086601918796077e-05,2.3326383598032407e-05,1.5541432730969973e-05,4.125008490518667e-05,0.00024470160133205354,0.7624169588088989,0.4610031843185425,0.3566242456436157,0.03039603866636753,0.010269961319863796
9,1.6649804820190184e-05,2.974543531308882e-05,2.1866113456781022e-05,2.14718693314353e-05,2.4043582016020082e-05,8.617149433121085e-06,3.0211474895477295,7.657345294952393,7.019949913024902,1.892188310623169,5.355053901672363,,,,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0009910802775024777,,0.01,,9,2.0374385712784715e-05,2.3406471882481128e-05,1.4963884495955426e-05,4.0999420889420435e-05,0.00024348593433387578,0.7743271589279175,0.46531781554222107,0.3583243489265442,0.03232549875974655,0.011343974620103836
