2.      Creating RBMs
3.      2,1
4.      2,2
5.      2,2
6.      1,2
------------------------------------------------
Info     Mon_Jul__9_14-56-05_2018 

1.-v    Pretrain Session
2.--v   	Pretraining  1. RBM
3.---v  		Epoch: 1 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0527 
3.---^  		Epoch: 1 / 50 (took 5.062 sek)
4.---v  		Epoch: 2 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0454 
4.---^  		Epoch: 2 / 50 (took 5.291 sek)
5.---v  		Epoch: 3 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0418 
5.---^  		Epoch: 3 / 50 (took 5.1 sek)
6.---v  		Epoch: 4 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0402 
6.---^  		Epoch: 4 / 50 (took 5.231 sek)
7.---v  		Epoch: 5 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0385 
7.---^  		Epoch: 5 / 50 (took 5.199 sek)
8.---v  		Epoch: 6 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0376 
8.---^  		Epoch: 6 / 50 (took 5.101 sek)
9.---v  		Epoch: 7 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0377 
9.---^  		Epoch: 7 / 50 (took 5.644 sek)
10.---v  		Epoch: 8 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0365 
10.---^  		Epoch: 8 / 50 (took 5.635 sek)
11.---v  		Epoch: 9 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0375 
11.---^  		Epoch: 9 / 50 (took 5.608 sek)
12.---v  		Epoch: 10 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0365 
12.---^  		Epoch: 10 / 50 (took 6.098 sek)
13.---v  		Epoch: 11 / 50
Info     			Learnrate: 0.01 
Info     			error 0.036 
13.---^  		Epoch: 11 / 50 (took 5.639 sek)
14.---v  		Epoch: 12 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0355 
14.---^  		Epoch: 12 / 50 (took 5.589 sek)
15.---v  		Epoch: 13 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0355 
15.---^  		Epoch: 13 / 50 (took 5.825 sek)
16.---v  		Epoch: 14 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0351 
16.---^  		Epoch: 14 / 50 (took 4.794 sek)
17.---v  		Epoch: 15 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0353 
17.---^  		Epoch: 15 / 50 (took 5.539 sek)
18.---v  		Epoch: 16 / 50
Info     			Learnrate: 0.01 
Info     			error 0.035 
18.---^  		Epoch: 16 / 50 (took 5.54 sek)
19.---v  		Epoch: 17 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0339 
19.---^  		Epoch: 17 / 50 (took 5.625 sek)
20.---v  		Epoch: 18 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0349 
20.---^  		Epoch: 18 / 50 (took 5.577 sek)
21.---v  		Epoch: 19 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0353 
21.---^  		Epoch: 19 / 50 (took 5.585 sek)
22.---v  		Epoch: 20 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0338 
22.---^  		Epoch: 20 / 50 (took 5.408 sek)
23.---v  		Epoch: 21 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0337 
23.---^  		Epoch: 21 / 50 (took 5.567 sek)
24.---v  		Epoch: 22 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0343 
24.---^  		Epoch: 22 / 50 (took 5.603 sek)
25.---v  		Epoch: 23 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0348 
25.---^  		Epoch: 23 / 50 (took 5.61 sek)
26.---v  		Epoch: 24 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0335 
26.---^  		Epoch: 24 / 50 (took 5.554 sek)
27.---v  		Epoch: 25 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0338 
27.---^  		Epoch: 25 / 50 (took 5.582 sek)
28.---v  		Epoch: 26 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0344 
28.---^  		Epoch: 26 / 50 (took 5.5 sek)
29.---v  		Epoch: 27 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0335 
29.---^  		Epoch: 27 / 50 (took 5.483 sek)
30.---v  		Epoch: 28 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0342 
30.---^  		Epoch: 28 / 50 (took 5.495 sek)
31.---v  		Epoch: 29 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0327 
31.---^  		Epoch: 29 / 50 (took 5.604 sek)
32.---v  		Epoch: 30 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0342 
32.---^  		Epoch: 30 / 50 (took 5.518 sek)
33.---v  		Epoch: 31 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0341 
33.---^  		Epoch: 31 / 50 (took 5.576 sek)
