2.      Creating RBMs
3.      2,1
4.      2,2
5.      2,2
6.      1,2
------------------------------------------------
Info     Mon_Jul__9_15-36-07_2018 

1.-v    Pretrain Session
2.--v   	Pretraining  1. RBM
3.---v  		Epoch: 1 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0527 
3.---^  		Epoch: 1 / 50 (took 3.582 sek)
4.---v  		Epoch: 2 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0452 
4.---^  		Epoch: 2 / 50 (took 3.427 sek)
5.---v  		Epoch: 3 / 50
Info     			Learnrate: 0.01 
Info     			error 0.042 
5.---^  		Epoch: 3 / 50 (took 3.451 sek)
6.---v  		Epoch: 4 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0401 
6.---^  		Epoch: 4 / 50 (took 3.486 sek)
7.---v  		Epoch: 5 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0392 
7.---^  		Epoch: 5 / 50 (took 3.487 sek)
8.---v  		Epoch: 6 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0383 
8.---^  		Epoch: 6 / 50 (took 3.473 sek)
9.---v  		Epoch: 7 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0376 
9.---^  		Epoch: 7 / 50 (took 3.419 sek)
10.---v  		Epoch: 8 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0363 
10.---^  		Epoch: 8 / 50 (took 3.481 sek)
11.---v  		Epoch: 9 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0356 
11.---^  		Epoch: 9 / 50 (took 3.533 sek)
12.---v  		Epoch: 10 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0358 
12.---^  		Epoch: 10 / 50 (took 3.41 sek)
13.---v  		Epoch: 11 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0356 
13.---^  		Epoch: 11 / 50 (took 3.409 sek)
14.---v  		Epoch: 12 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0353 
14.---^  		Epoch: 12 / 50 (took 3.5 sek)
15.---v  		Epoch: 13 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0355 
15.---^  		Epoch: 13 / 50 (took 3.465 sek)
16.---v  		Epoch: 14 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0353 
16.---^  		Epoch: 14 / 50 (took 3.413 sek)
17.---v  		Epoch: 15 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0348 
17.---^  		Epoch: 15 / 50 (took 3.429 sek)
18.---v  		Epoch: 16 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0347 
18.---^  		Epoch: 16 / 50 (took 3.486 sek)
19.---v  		Epoch: 17 / 50
Info     			Learnrate: 0.01 
Info     			error 0.035 
19.---^  		Epoch: 17 / 50 (took 3.545 sek)
20.---v  		Epoch: 18 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0347 
20.---^  		Epoch: 18 / 50 (took 3.464 sek)
21.---v  		Epoch: 19 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0341 
21.---^  		Epoch: 19 / 50 (took 3.439 sek)
22.---v  		Epoch: 20 / 50
Info     			Learnrate: 0.01 
Info     			error 0.034 
22.---^  		Epoch: 20 / 50 (took 3.487 sek)
23.---v  		Epoch: 21 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0341 
23.---^  		Epoch: 21 / 50 (took 3.471 sek)
24.---v  		Epoch: 22 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0345 
24.---^  		Epoch: 22 / 50 (took 3.739 sek)
25.---v  		Epoch: 23 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0338 
25.---^  		Epoch: 23 / 50 (took 3.504 sek)
26.---v  		Epoch: 24 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0334 
26.---^  		Epoch: 24 / 50 (took 3.449 sek)
27.---v  		Epoch: 25 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0343 
27.---^  		Epoch: 25 / 50 (took 3.417 sek)
28.---v  		Epoch: 26 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0334 
28.---^  		Epoch: 26 / 50 (took 3.414 sek)
29.---v  		Epoch: 27 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0338 
29.---^  		Epoch: 27 / 50 (took 3.414 sek)
30.---v  		Epoch: 28 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0348 
30.---^  		Epoch: 28 / 50 (took 3.479 sek)
31.---v  		Epoch: 29 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0334 
31.---^  		Epoch: 29 / 50 (took 3.514 sek)
32.---v  		Epoch: 30 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0339 
32.---^  		Epoch: 30 / 50 (took 3.408 sek)
33.---v  		Epoch: 31 / 50
Info     			Learnrate: 0.01 
Info     			error 0.0334 
33.---^  		Epoch: 31 / 50 (took 3.478 sek)
